,number,time,t2m
0,0,1989-01-01,275.87604
1,0,1989-02-01,276.2126
2,0,1989-03-01,276.17224
3,0,1989-04-01,277.27222
4,0,1989-05-01,278.7561
5,0,1989-06-01,280.18375
6,0,1989-07-01,280.84863
7,0,1989-08-01,280.48523
8,0,1989-09-01,279.53754
9,0,1989-10-01,277.94904
10,0,1989-11-01,276.76266
11,0,1989-12-01,276.9615
12,0,1990-01-01,276.91934
13,0,1990-02-01,276.31427
14,0,1990-03-01,276.80524
15,0,1990-04-01,277.8734
16,0,1990-05-01,279.51315
17,0,1990-06-01,280.5439
18,0,1990-07-01,281.13605
19,0,1990-08-01,280.52417
20,0,1990-09-01,279.47964
21,0,1990-10-01,278.13287
22,0,1990-11-01,277.24
23,0,1990-12-01,276.9949
24,0,1991-01-01,276.6915
25,0,1991-02-01,276.32956
26,0,1991-03-01,276.09155
27,0,1991-04-01,277.3763
28,0,1991-05-01,279.19086
29,0,1991-06-01,280.88126
30,0,1991-07-01,281.18408
31,0,1991-08-01,280.7568
32,0,1991-09-01,279.7665
33,0,1991-10-01,278.02298
34,0,1991-11-01,277.216
35,0,1991-12-01,277.02588
36,0,1992-01-01,276.56616
37,0,1992-02-01,276.11612
38,0,1992-03-01,276.43106
39,0,1992-04-01,277.24695
40,0,1992-05-01,279.074
41,0,1992-06-01,280.5172
42,0,1992-07-01,280.6552
43,0,1992-08-01,280.2031
44,0,1992-09-01,279.03232
45,0,1992-10-01,277.80862
46,0,1992-11-01,276.78516
47,0,1992-12-01,276.4356
48,0,1993-01-01,276.3667
49,0,1993-02-01,276.1438
50,0,1993-03-01,275.817
51,0,1993-04-01,277.22745
52,0,1993-05-01,279.11044
53,0,1993-06-01,280.4739
54,0,1993-07-01,280.75906
55,0,1993-08-01,280.26562
56,0,1993-09-01,278.98706
57,0,1993-10-01,277.79666
58,0,1993-11-01,276.8686
59,0,1993-12-01,276.41507
60,0,1994-01-01,276.09717
61,0,1994-02-01,275.56213
62,0,1994-03-01,275.78925
63,0,1994-04-01,277.29843
64,0,1994-05-01,278.72293
65,0,1994-06-01,280.6214
66,0,1994-07-01,280.76468
67,0,1994-08-01,280.22986
68,0,1994-09-01,279.30414
69,0,1994-10-01,278.05878
70,0,1994-11-01,277.09335
71,0,1994-12-01,276.67514
72,0,1995-01-01,276.3411
73,0,1995-02-01,276.61923
74,0,1995-03-01,276.03006
75,0,1995-04-01,277.7931
76,0,1995-05-01,279.0277
77,0,1995-06-01,280.72998
78,0,1995-07-01,281.12073
79,0,1995-08-01,280.62927
80,0,1995-09-01,279.29172
81,0,1995-10-01,278.29333
82,0,1995-11-01,277.30975
83,0,1995-12-01,276.66937
84,0,1996-01-01,276.36328
85,0,1996-02-01,276.29788
86,0,1996-03-01,276.10632
87,0,1996-04-01,277.47736
88,0,1996-05-01,278.65155
89,0,1996-06-01,280.28775
90,0,1996-07-01,280.9623
91,0,1996-08-01,280.98337
92,0,1996-09-01,279.27432
93,0,1996-10-01,277.72287
94,0,1996-11-01,277.87424
95,0,1996-12-01,276.92334
96,0,1997-01-01,276.1567
97,0,1997-02-01,275.99335
98,0,1997-03-01,276.55566
99,0,1997-04-01,277.27344
100,0,1997-05-01,278.9824
101,0,1997-06-01,280.74362
102,0,1997-07-01,280.51016
103,0,1997-08-01,280.3884
104,0,1997-09-01,279.45062
105,0,1997-10-01,278.2968
106,0,1997-11-01,277.68088
107,0,1997-12-01,276.93884
108,0,1998-01-01,276.62125
109,0,1998-02-01,276.23386
110,0,1998-03-01,276.3007
111,0,1998-04-01,277.40726
112,0,1998-05-01,279.4343
113,0,1998-06-01,281.12854
114,0,1998-07-01,281.11578
115,0,1998-08-01,280.8658
116,0,1998-09-01,279.40137
117,0,1998-10-01,277.891
118,0,1998-11-01,277.359
119,0,1998-12-01,276.9836
120,0,1999-01-01,276.51645
121,0,1999-02-01,276.1902
122,0,1999-03-01,275.94122
123,0,1999-04-01,276.972
124,0,1999-05-01,278.90448
125,0,1999-06-01,280.52527
126,0,1999-07-01,280.83
127,0,1999-08-01,280.58557
128,0,1999-09-01,279.53085
129,0,1999-10-01,278.16495
130,0,1999-11-01,277.3125
131,0,1999-12-01,276.9296
132,0,2000-01-01,276.33606
133,0,2000-02-01,276.33905
134,0,2000-03-01,276.26163
135,0,2000-04-01,277.37445
136,0,2000-05-01,278.9412
137,0,2000-06-01,280.55075
138,0,2000-07-01,280.8091
139,0,2000-08-01,280.59048
140,0,2000-09-01,279.37213
141,0,2000-10-01,277.976
142,0,2000-11-01,277.39307
143,0,2000-12-01,276.79178
144,0,2001-01-01,276.4848
145,0,2001-02-01,276.1746
146,0,2001-03-01,275.92227
147,0,2001-04-01,277.1755
148,0,2001-05-01,279.2407
149,0,2001-06-01,280.7314
150,0,2001-07-01,281.08124
151,0,2001-08-01,280.45615
152,0,2001-09-01,279.68643
153,0,2001-10-01,278.24936
154,0,2001-11-01,277.88354
155,0,2001-12-01,277.55963
156,0,2002-01-01,277.0102
157,0,2002-02-01,275.99915
158,0,2002-03-01,276.92694
159,0,2002-04-01,277.5138
160,0,2002-05-01,279.6364
161,0,2002-06-01,280.78668
162,0,2002-07-01,281.12878
163,0,2002-08-01,280.8053
164,0,2002-09-01,279.8141
165,0,2002-10-01,278.5793
166,0,2002-11-01,277.49252
167,0,2002-12-01,277.05338
168,0,2003-01-01,276.91092
169,0,2003-02-01,276.1125
170,0,2003-03-01,276.1302
171,0,2003-04-01,277.3897
172,0,2003-05-01,279.33237
173,0,2003-06-01,280.42017
174,0,2003-07-01,280.85635
175,0,2003-08-01,280.9028
176,0,2003-09-01,279.82736
177,0,2003-10-01,278.5845
178,0,2003-11-01,277.4515
179,0,2003-12-01,277.44196
180,0,2004-01-01,276.67117
181,0,2004-02-01,276.26575
182,0,2004-03-01,276.24332
183,0,2004-04-01,277.6842
184,0,2004-05-01,278.97958
185,0,2004-06-01,280.60947
186,0,2004-07-01,280.44138
187,0,2004-08-01,280.50885
188,0,2004-09-01,279.7886
189,0,2004-10-01,278.44812
190,0,2004-11-01,277.43237
191,0,2004-12-01,277.0991
192,0,2005-01-01,277.3269
193,0,2005-02-01,276.64548
194,0,2005-03-01,276.52902
195,0,2005-04-01,277.57205
196,0,2005-05-01,279.45828
197,0,2005-06-01,280.84265
198,0,2005-07-01,281.04724
199,0,2005-08-01,280.76556
200,0,2005-09-01,279.93475
201,0,2005-10-01,278.8554
202,0,2005-11-01,277.73428
203,0,2005-12-01,277.59827
204,0,2006-01-01,277.1495
205,0,2006-02-01,276.4384
206,0,2006-03-01,276.37766
207,0,2006-04-01,277.7483
208,0,2006-05-01,279.3917
209,0,2006-06-01,280.94894
210,0,2006-07-01,280.82642
211,0,2006-08-01,280.94183
212,0,2006-09-01,279.68704
213,0,2006-10-01,278.5248
214,0,2006-11-01,277.8621
215,0,2006-12-01,277.278
216,0,2007-01-01,277.28293
217,0,2007-02-01,276.43692
218,0,2007-03-01,276.39575
219,0,2007-04-01,278.0009
220,0,2007-05-01,279.55185
221,0,2007-06-01,280.9668
222,0,2007-07-01,281.2046
223,0,2007-08-01,280.81912
224,0,2007-09-01,279.67593
225,0,2007-10-01,278.70123
226,0,2007-11-01,277.67615
227,0,2007-12-01,277.30557
228,0,2008-01-01,276.41702
229,0,2008-02-01,276.14273
230,0,2008-03-01,276.5387
231,0,2008-04-01,277.73044
232,0,2008-05-01,279.30386
233,0,2008-06-01,280.40634
234,0,2008-07-01,281.06702
235,0,2008-08-01,280.56897
236,0,2008-09-01,279.83966
237,0,2008-10-01,278.40576
238,0,2008-11-01,277.70215
239,0,2008-12-01,277.25418
240,0,2009-01-01,277.1773
241,0,2009-02-01,276.27286
242,0,2009-03-01,276.2747
243,0,2009-04-01,277.37433
244,0,2009-05-01,279.58475
245,0,2009-06-01,280.7693
246,0,2009-07-01,281.31577
247,0,2009-08-01,280.66064
248,0,2009-09-01,279.72055
249,0,2009-10-01,278.7147
250,0,2009-11-01,277.94736
251,0,2009-12-01,277.3168
252,0,2010-01-01,276.9972
253,0,2010-02-01,276.65897
254,0,2010-03-01,276.71347
255,0,2010-04-01,277.83652
256,0,2010-05-01,279.7148
257,0,2010-06-01,280.63272
258,0,2010-07-01,280.90112
259,0,2010-08-01,280.79456
260,0,2010-09-01,279.7748
261,0,2010-10-01,278.72247
262,0,2010-11-01,277.7098
263,0,2010-12-01,277.11536
264,0,2011-01-01,276.95157
265,0,2011-02-01,276.43988
266,0,2011-03-01,276.6168
267,0,2011-04-01,277.78085
268,0,2011-05-01,279.2386
269,0,2011-06-01,280.72208
270,0,2011-07-01,281.41714
271,0,2011-08-01,281.115
272,0,2011-09-01,279.6965
273,0,2011-10-01,278.69116
274,0,2011-11-01,277.7364
275,0,2011-12-01,277.37357
276,0,2012-01-01,276.89835
277,0,2012-02-01,276.57144
278,0,2012-03-01,276.5319
279,0,2012-04-01,277.6536
280,0,2012-05-01,279.56552
281,0,2012-06-01,280.86926
282,0,2012-07-01,280.93256
283,0,2012-08-01,280.70184
284,0,2012-09-01,279.8472
285,0,2012-10-01,278.83777
286,0,2012-11-01,278.0436
287,0,2012-12-01,277.35245
288,0,2013-01-01,277.17896
289,0,2013-02-01,276.1002
290,0,2013-03-01,276.44897
291,0,2013-04-01,277.63748
292,0,2013-05-01,279.10275
293,0,2013-06-01,281.00174
294,0,2013-07-01,280.9292
295,0,2013-08-01,280.97787
296,0,2013-09-01,280.20734
297,0,2013-10-01,278.46957
298,0,2013-11-01,277.84332
299,0,2013-12-01,277.56213
300,0,2014-01-01,277.04965
301,0,2014-02-01,276.52283
302,0,2014-03-01,276.63586
303,0,2014-04-01,277.80557
304,0,2014-05-01,279.6452
305,0,2014-06-01,280.7214
306,0,2014-07-01,280.90002
307,0,2014-08-01,280.9506
308,0,2014-09-01,280.0223
309,0,2014-10-01,278.7078
310,0,2014-11-01,277.59332
311,0,2014-12-01,277.4148
312,0,2015-01-01,277.04013
313,0,2015-02-01,276.7032
314,0,2015-03-01,276.9259
315,0,2015-04-01,277.92145
316,0,2015-05-01,279.33905
317,0,2015-06-01,280.82004
318,0,2015-07-01,280.93433
319,0,2015-08-01,280.8025
320,0,2015-09-01,279.66373
321,0,2015-10-01,279.0759
322,0,2015-11-01,277.99753
323,0,2015-12-01,277.5752
324,0,2016-01-01,277.5662
325,0,2016-02-01,277.2282
326,0,2016-03-01,277.11234
327,0,2016-04-01,278.192
328,0,2016-05-01,279.9044
329,0,2016-06-01,280.8332
330,0,2016-07-01,281.27267
331,0,2016-08-01,281.303
332,0,2016-09-01,280.0715
333,0,2016-10-01,279.1717
334,0,2016-11-01,278.67593
335,0,2016-12-01,277.88992
336,0,2017-01-01,277.47925
337,0,2017-02-01,277.1344
338,0,2017-03-01,277.2202
339,0,2017-04-01,278.04767
340,0,2017-05-01,279.73273
341,0,2017-06-01,280.78912
342,0,2017-07-01,281.16122
343,0,2017-08-01,280.96957
344,0,2017-09-01,279.90524
345,0,2017-10-01,279.17825
346,0,2017-11-01,278.03116
347,0,2017-12-01,277.77768
348,0,2018-01-01,277.2512
349,0,2018-02-01,277.1469
350,0,2018-03-01,276.75122
351,0,2018-04-01,278.0512
352,0,2018-05-01,279.86206
353,0,2018-06-01,281.2039
354,0,2018-07-01,281.28296
355,0,2018-08-01,281.11752
356,0,2018-09-01,279.8567
357,0,2018-10-01,279.3586
358,0,2018-11-01,277.8977
359,0,2018-12-01,277.77313
360,0,2019-01-01,276.9065
361,0,2019-02-01,276.85526
362,0,2019-03-01,277.09634
363,0,2019-04-01,278.19305
364,0,2019-05-01,279.8289
365,0,2019-06-01,281.0309
366,0,2019-07-01,281.49258
367,0,2019-08-01,281.15045
368,0,2019-09-01,280.12204
369,0,2019-10-01,279.19714
370,0,2019-11-01,278.1663
371,0,2019-12-01,277.85004
372,1,1989-01-01,275.94894
373,1,1989-02-01,276.1923
374,1,1989-03-01,276.16754
375,1,1989-04-01,277.2716
376,1,1989-05-01,278.7431
377,1,1989-06-01,280.12198
378,1,1989-07-01,280.77982
379,1,1989-08-01,280.46396
380,1,1989-09-01,279.50974
381,1,1989-10-01,277.9236
382,1,1989-11-01,276.7257
383,1,1989-12-01,276.94598
384,1,1990-01-01,276.8983
385,1,1990-02-01,276.27725
386,1,1990-03-01,276.7792
387,1,1990-04-01,277.8807
388,1,1990-05-01,279.49838
389,1,1990-06-01,280.51254
390,1,1990-07-01,281.11472
391,1,1990-08-01,280.50455
392,1,1990-09-01,279.49042
393,1,1990-10-01,278.17038
394,1,1990-11-01,277.20248
395,1,1990-12-01,276.96844
396,1,1991-01-01,276.6671
397,1,1991-02-01,276.31448
398,1,1991-03-01,276.07153
399,1,1991-04-01,277.38602
400,1,1991-05-01,279.1748
401,1,1991-06-01,280.87958
402,1,1991-07-01,281.1579
403,1,1991-08-01,280.72058
404,1,1991-09-01,279.72766
405,1,1991-10-01,278.04437
406,1,1991-11-01,277.22632
407,1,1991-12-01,277.041
408,1,1992-01-01,276.57828
409,1,1992-02-01,276.0814
410,1,1992-03-01,276.44318
411,1,1992-04-01,277.24445
412,1,1992-05-01,279.0632
413,1,1992-06-01,280.47607
414,1,1992-07-01,280.6352
415,1,1992-08-01,280.17502
416,1,1992-09-01,279.01163
417,1,1992-10-01,277.86615
418,1,1992-11-01,276.79837
419,1,1992-12-01,276.40204
420,1,1993-01-01,276.3392
421,1,1993-02-01,276.12436
422,1,1993-03-01,275.80295
423,1,1993-04-01,277.20438
424,1,1993-05-01,279.03992
425,1,1993-06-01,280.44168
426,1,1993-07-01,280.7311
427,1,1993-08-01,280.2509
428,1,1993-09-01,278.98853
429,1,1993-10-01,277.8176
430,1,1993-11-01,276.84222
431,1,1993-12-01,276.4142
432,1,1994-01-01,276.08002
433,1,1994-02-01,275.51788
434,1,1994-03-01,275.79248
435,1,1994-04-01,277.2637
436,1,1994-05-01,278.68704
437,1,1994-06-01,280.5998
438,1,1994-07-01,280.7364
439,1,1994-08-01,280.21652
440,1,1994-09-01,279.27975
441,1,1994-10-01,278.0194
442,1,1994-11-01,277.07162
443,1,1994-12-01,276.69934
444,1,1995-01-01,276.38867
445,1,1995-02-01,276.57864
446,1,1995-03-01,276.01233
447,1,1995-04-01,277.77783
448,1,1995-05-01,279.01718
449,1,1995-06-01,280.72906
450,1,1995-07-01,281.11603
451,1,1995-08-01,280.5717
452,1,1995-09-01,279.2459
453,1,1995-10-01,278.23923
454,1,1995-11-01,277.25336
455,1,1995-12-01,276.61893
456,1,1996-01-01,276.35306
457,1,1996-02-01,276.28503
458,1,1996-03-01,276.06363
459,1,1996-04-01,277.45013
460,1,1996-05-01,278.60297
461,1,1996-06-01,280.24936
462,1,1996-07-01,280.924
463,1,1996-08-01,280.90717
464,1,1996-09-01,279.23822
465,1,1996-10-01,277.6998
466,1,1996-11-01,277.86032
467,1,1996-12-01,276.90393
468,1,1997-01-01,276.13388
469,1,1997-02-01,275.96307
470,1,1997-03-01,276.53003
471,1,1997-04-01,277.2583
472,1,1997-05-01,278.95108
473,1,1997-06-01,280.69766
474,1,1997-07-01,280.46887
475,1,1997-08-01,280.35406
476,1,1997-09-01,279.41516
477,1,1997-10-01,278.2912
478,1,1997-11-01,277.65588
479,1,1997-12-01,276.93924
480,1,1998-01-01,276.6093
481,1,1998-02-01,276.19345
482,1,1998-03-01,276.28192
483,1,1998-04-01,277.36618
484,1,1998-05-01,279.37866
485,1,1998-06-01,281.07834
486,1,1998-07-01,281.10458
487,1,1998-08-01,280.80917
488,1,1998-09-01,279.3577
489,1,1998-10-01,277.8539
490,1,1998-11-01,277.37842
491,1,1998-12-01,276.95377
492,1,1999-01-01,276.5517
493,1,1999-02-01,276.18604
494,1,1999-03-01,275.91272
