,year,month,t2m
0,1979,1,284.04395
1,1979,2,285.86636
2,1979,3,288.183
3,1979,4,292.6001
4,1979,5,294.63663
5,1979,6,296.44458
6,1979,7,296.4874
7,1979,8,296.12088
8,1979,9,293.71573
9,1979,10,291.34314
10,1979,11,287.26224
11,1979,12,284.7948
12,1980,1,283.34872
13,1980,2,285.11298
14,1980,3,288.386
15,1980,4,292.67908
16,1980,5,295.34756
17,1980,6,296.2604
18,1980,7,296.77634
19,1980,8,295.97754
20,1980,9,294.1493
21,1980,10,291.14285
22,1980,11,288.17993
23,1980,12,284.83368
24,1981,1,283.35733
25,1981,2,285.6155
26,1981,3,289.12225
27,1981,4,292.5228
28,1981,5,294.86795
29,1981,6,296.50662
30,1981,7,296.7618
31,1981,8,296.17773
32,1981,9,294.13086
33,1981,10,290.57004
34,1981,11,286.52496
35,1981,12,283.68774
36,1982,1,284.0783
37,1982,2,285.0544
38,1982,3,288.5719
39,1982,4,291.81915
40,1982,5,294.63742
41,1982,6,296.1161
42,1982,7,296.74582
43,1982,8,296.05585
44,1982,9,293.96118
45,1982,10,291.49527
46,1982,11,287.10947
47,1982,12,283.87164
48,1983,1,283.11118
49,1983,2,284.82678
50,1983,3,288.32233
51,1983,4,291.72855
52,1983,5,294.8631
53,1983,6,296.236
54,1983,7,296.75244
55,1983,8,296.3324
56,1983,9,294.49786
57,1983,10,291.22092
58,1983,11,287.29126
59,1983,12,284.06738
60,1984,1,282.5852
61,1984,2,284.16693
62,1984,3,289.00046
63,1984,4,292.40335
64,1984,5,295.10193
65,1984,6,296.2983
66,1984,7,296.26028
67,1984,8,296.05057
68,1984,9,293.66916
69,1984,10,290.8538
70,1984,11,287.38333
71,1984,12,283.5208
72,1985,1,283.40637
73,1985,2,285.5178
74,1985,3,288.58255
75,1985,4,292.54346
76,1985,5,294.84872
77,1985,6,296.09244
78,1985,7,296.3238
79,1985,8,296.25232
80,1985,9,293.8345
81,1985,10,290.788
82,1985,11,286.64896
83,1985,12,284.20462
84,1986,1,283.50256
85,1986,2,285.04587
86,1986,3,288.31888
87,1986,4,292.00858
88,1986,5,294.89398
89,1986,6,296.2805
90,1986,7,296.65103
91,1986,8,295.97647
92,1986,9,293.9242
93,1986,10,290.66788
94,1986,11,287.14218
95,1986,12,284.43243
96,1987,1,284.18936
97,1987,2,286.3436
98,1987,3,289.04553
99,1987,4,292.5146
100,1987,5,294.67987
101,1987,6,296.407
102,1987,7,297.01834
103,1987,8,296.41663
104,1987,9,294.68677
