,time,t2m
0,1981-01-01,266.02017
1,1981-02-01,264.46198
2,1981-03-01,264.96048
3,1981-04-01,266.27283
4,1981-05-01,269.23776
5,1981-06-01,271.66928
6,1981-07-01,273.2039
7,1981-08-01,272.58603
8,1981-09-01,269.5062
9,1981-10-01,267.34277
10,1981-11-01,266.23734
11,1981-12-01,266.38034
12,1982-01-01,264.3991
13,1982-02-01,263.89468
14,1982-03-01,262.7828
15,1982-04-01,265.954
16,1982-05-01,269.01532
17,1982-06-01,271.08878
18,1982-07-01,272.60278
19,1982-08-01,271.188
20,1982-09-01,268.83072
21,1982-10-01,267.51703
22,1982-11-01,266.55725
23,1982-12-01,266.47586
24,1983-01-01,265.4942
25,1983-02-01,263.84576
26,1983-03-01,263.96448
27,1983-04-01,266.41702
28,1983-05-01,269.6656
29,1983-06-01,271.02277
30,1983-07-01,271.52594
31,1983-08-01,271.89053
32,1983-09-01,270.22943
33,1983-10-01,267.3228
34,1983-11-01,266.35092
35,1983-12-01,265.5167
36,1984-01-01,265.2157
37,1984-02-01,263.61566
38,1984-03-01,264.62357
39,1984-04-01,266.0264
40,1984-05-01,270.0152
41,1984-06-01,270.80295
42,1984-07-01,272.5786
43,1984-08-01,271.3205
44,1984-09-01,269.29333
45,1984-10-01,267.23282
46,1984-11-01,265.7133
47,1984-12-01,265.43823
48,1985-01-01,265.05365
49,1985-02-01,262.58768
50,1985-03-01,263.97415
51,1985-04-01,266.2194
52,1985-05-01,268.5499
53,1985-06-01,271.7668
54,1985-07-01,271.40002
55,1985-08-01,271.8841
56,1985-09-01,269.15976
57,1985-10-01,267.22958
58,1985-11-01,266.04794
59,1985-12-01,265.38034
60,1986-01-01,265.50922
61,1986-02-01,265.03455
62,1986-03-01,264.4151
63,1986-04-01,266.6881
64,1986-05-01,268.95135
65,1986-06-01,270.70917
66,1986-07-01,272.15714
67,1986-08-01,271.4107
68,1986-09-01,268.43015
69,1986-10-01,267.1664
70,1986-11-01,266.2183
71,1986-12-01,265.56848
72,1987-01-01,265.2976
73,1987-02-01,264.27252
74,1987-03-01,263.59354
75,1987-04-01,265.717
76,1987-05-01,268.75378
77,1987-06-01,271.8721
78,1987-07-01,272.77502
79,1987-08-01,270.488
80,1987-09-01,269.51477
81,1987-10-01,267.37012
82,1987-11-01,265.61115
83,1987-12-01,266.06308
84,1988-01-01,265.52103
85,1988-02-01,263.60977
86,1988-03-01,264.81482
87,1988-04-01,266.5432
88,1988-05-01,269.25842
89,1988-06-01,272.14774
90,1988-07-01,272.43027
91,1988-08-01,272.35226
92,1988-09-01,270.18936
93,1988-10-01,268.43738
94,1988-11-01,266.34604
95,1988-12-01,266.32394
96,1989-01-01,264.60333
97,1989-02-01,264.27158
98,1989-03-01,264.43298
99,1989-04-01,266.19763
100,1989-05-01,268.13956
101,1989-06-01,270.77484
102,1989-07-01,272.40314
103,1989-08-01,271.79245
104,1989-09-01,270.00165
105,1989-10-01,267.86005
106,1989-11-01,266.34592
107,1989-12-01,266.60672
108,1990-01-01,265.38327
109,1990-02-01,263.95367
110,1990-03-01,265.0642
111,1990-04-01,266.80267
112,1990-05-01,269.28598
113,1990-06-01,271.5883
114,1990-07-01,272.82712
115,1990-08-01,271.3674
116,1990-09-01,269.3534
117,1990-10-01,267.92953
118,1990-11-01,267.11554
119,1990-12-01,266.51923
120,1991-01-01,265.1048
121,1991-02-01,264.97144
122,1991-03-01,263.8179
123,1991-04-01,266.73355
124,1991-05-01,268.96994
125,1991-06-01,272.25024
126,1991-07-01,273.31125
127,1991-08-01,272.07294
128,1991-09-01,270.4375
129,1991-10-01,267.80072
130,1991-11-01,266.55515
131,1991-12-01,266.08997
132,1992-01-01,265.60077
133,1992-02-01,264.13834
134,1992-03-01,264.25983
135,1992-04-01,266.06937
136,1992-05-01,269.16046
137,1992-06-01,271.56958
138,1992-07-01,271.94528
139,1992-08-01,271.01913
140,1992-09-01,268.78732
141,1992-10-01,267.90213
142,1992-11-01,266.06564
143,1992-12-01,265.63193
144,1993-01-01,265.59027
145,1993-02-01,264.213
146,1993-03-01,264.22845
147,1993-04-01,266.04996
148,1993-05-01,268.84818
149,1993-06-01,271.38647
150,1993-07-01,272.2675
151,1993-08-01,270.9088
152,1993-09-01,268.9296
153,1993-10-01,267.68732
154,1993-11-01,265.87347
155,1993-12-01,265.54138
156,1994-01-01,264.52948
157,1994-02-01,262.74615
158,1994-03-01,263.78415
159,1994-04-01,266.57953
160,1994-05-01,268.6425
161,1994-06-01,272.18362
162,1994-07-01,272.3566
163,1994-08-01,271.1728
164,1994-09-01,269.68997
165,1994-10-01,268.0118
166,1994-11-01,266.81122
167,1994-12-01,265.54993
168,1995-01-01,264.87537
169,1995-02-01,265.15326
170,1995-03-01,264.29248
171,1995-04-01,266.57803
172,1995-05-01,268.6907
173,1995-06-01,271.9561
174,1995-07-01,273.18903
175,1995-08-01,272.00098
176,1995-09-01,269.1047
177,1995-10-01,267.99652
178,1995-11-01,266.7931
179,1995-12-01,265.90582
180,1996-01-01,264.69934
181,1996-02-01,264.66098
182,1996-03-01,263.95728
183,1996-04-01,266.6173
184,1996-05-01,268.1713
185,1996-06-01,271.09885
186,1996-07-01,272.919
187,1996-08-01,272.79797
188,1996-09-01,269.61136
189,1996-10-01,267.2549
190,1996-11-01,267.13083
191,1996-12-01,266.24356
192,1997-01-01,264.75522
193,1997-02-01,263.8673
194,1997-03-01,264.36978
195,1997-04-01,266.20557
196,1997-05-01,268.74936
197,1997-06-01,271.9617
198,1997-07-01,271.29364
199,1997-08-01,271.1645
200,1997-09-01,269.4201
201,1997-10-01,267.85498
202,1997-11-01,267.12274
203,1997-12-01,266.11227
204,1998-01-01,265.09415
205,1998-02-01,264.84622
206,1998-03-01,264.16583
207,1998-04-01,266.02542
208,1998-05-01,269.92273
209,1998-06-01,272.69156
210,1998-07-01,272.85333
211,1998-08-01,272.07776
212,1998-09-01,269.18625
213,1998-10-01,267.1668
214,1998-11-01,266.26453
215,1998-12-01,266.21063
